|Название|О товаре|Производитель|Торговая марка|Страна|Вес|Объем|Состав|Вид|Энергетическая ценность|Белки|Жиры|Углеводы|Срок годности|Стоимость|IMG URL|URL
0|Колбаса Мясницкий Ряд Для завтрака вареная 400г||Одинцовский МК|Мясницкий ряд|Россия|0.4 кг||Мясо птицы механической обвалки, вода, свинина, говядина, стабилизатор, растительный белок, нитритная соль (соль поваренная, фиксатор окраски нитрит натрия), стабилизаторы (Е1412, Е450, Е452, усилитель вкуса и аромата (глутамат натрия), антиокислители (аскорбиновая кислота, аскорбат натрия, пиросульфит натрия), глюкоза, чеснок, экстракты специй (перец, кориандр, розмарин), ароматизатор натуральный коптильный, регулятор кислотности (Е451, Е262, Е331), ароматизаторы  («Мясо», «Перец»), краситель (кармин)||232.0|11 г|20 г||30 дней|169₽/шт|https://media.vprok.ru/products/x700/sd/dy/nr67wfhcf3syn7frfm2janhytv5adysd.jpeg|https://www.vprok.ru/product/myasnitskiy-ryad-m-ryad-kolb-davtr-var-mpt-400g--673828
1|Миндаль Все в шоколаде В бархатной какао-пудре 130г||Орехпром|Все в шоколаде|Россия|0.13 кг||ядра орехов миндаля обжаренные, глазурь (сахар, заменитель какао-масла лауринового типа (масла растительные рафинированные дезодорированные, эмульгатор сорбитан тристеарат),  какао-порошок, эмульгатор соевый лецитин, ароматизаторы), сахар, какао-порошок||620.0|8 г|53 г|27 г|365 дней|250₽/шт|https://media.vprok.ru/products/x700/w7/ao/npnyj3lihn6x75vramd3wouorhc2aow7.jpeg|https://www.vprok.ru/product/vse-v-shokolade-vvshok-130gr-m-v-barh-kaka-pud--1115989
2|Сырок глазированный Советские традиции с какао 26% 45г|Сырок глазированный Советские традиции с какао 26% 45г – классическое лакомство, изготовленное в соответствии с рецептурой ГОСТ. Натуральный творог смешивают с какао, сахаром и прочими компонентами, а затем из получившейся массы формируют небольшие батончики. Сверху десерт обильно поливают шоколадной глазурью. Сырок непременно понравится и детям, и взрослым, отлично подойдет для перекуса, украсит любое чаепитие. Упаковка из фольги сохраняет свежесть и питательную ценность в пределах всего срока годности. Завод по производству продукции бренда расположен в экологически чистом Пушкинском районе Подмосковья. Все продукты проходят многоступенчатый контроль, осуществляемый собственной аккредитованной лабораторией.|РостАгроКомплекс|Советские традиции|Россия|0.045 кг||Творог, сахар, глазурь жировая (сахар, заменитель масла какао нетемперируемый лауринового типа (масло пальмоядровое (стеарин) гидрогенизированное  рафинированное дезодорированное, стабилизатор- сорбитан тристеарат), масло кокосовое рафинированное дезодорированное отбеленное, какао-порошок, заменитель молочного жира (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде (пальмовое и его фракции, подсолнечное, пальмоядровое и его фракции), антиокислитель –смесь токоферолов), молоко обезжиренное сухое, сыворотка молочная сухая , эмульгаторы: лецитин соевый, Е476, ароматизатор «Ванилин»); масло сливочное, какао-порошок, экстракт ванили||425.5|7.5 г|28.7 г|34.3 г|30 дней|48,9₽/шт|https://media.vprok.ru/products/x700/tw/6w/xau3okdwzg3hewrbyiiv3t4dwuji6wtw.jpeg|https://www.vprok.ru/product/sovetskie-traditsii-sov-tr-syr-tv-gl-s-kakao-2645g--673926
3|Колбаса Ближние Горки Докторская вареная 450г|Колбаса Ближние горки Докторская вареная 450г приготовлена по классическому рецепту ГОСТ из свинины и говядины высшего сорта, имеет нежный вкус и приятный аромат. Вся продукция компании сделана из натурального мяса с собственной фермы, расположенной в селе Дмитрова Гора, в экологически оптимальном Конаковском районе. Животные получают сбалансированный злаковый корм без ГМО и гормонов роста. Тщательный контроль на каждом этапе от поля до прилавка позволяет создавать фермерские мясные продукты высокого качества, а инновационная упаковка и оперативная доставка в торговые точки сохраняют полезные и питательные свойства в течение всего срока годности.|Дмитрогорский МЗ|Ближние горки|Россия|0.45 кг||Свинина, говядина, вода, молоко сухое обезжиренное, нитритно-посолочная смесь (соль, фиксатор окраски - нитрит натрия),  меланж яичный, сахар, стабилизатор - пирофосфат натрия, регулятор кислотности - трифосфат натрия 5-замещенный,  ацетат натрия, цитрат натрия 3-замещенный, антиокислители - аскорбат натрия, аскорбиновая кислота, мальтодекстрин,  ароматизаторы, экстракты пряностей||174.0|12 г|14 г|0 г|27 дней|349₽/шт|https://media.vprok.ru/products/x700/n4/yf/k4bgnjl6menhvux6er5k5arbxxjeyfn4.jpeg|https://www.vprok.ru/product/blijnie-gorki-bl-gor-kolb-dokt-var-gost-450g--379340
4|Помело King сушеное 100г||Профи Лайн Плюс|King|Вьетнам|0.1 кг||Отборные плоды помело, фруктоза, консервант(пиросульфит натрия)|Помело|305.0|0.65 г|0.29 г|65 г|365 дней||https://media.vprok.ru/products/x700/mb/mm/lbk4z3keeld2sorwuhzch6peprwxmmmb.jpeg|https://www.vprok.ru/product/king-king-pomelo-sush-100gr--1116187
5|Биточек с пенне 200г||ИП Расчислова Н.Н.||Россия|0.2 кг||Макароны отварные (вола питьевая, макаронные изделия, соль пищевая), филе грудки куриной с/м, филе бедра куриного с/м, молоко питьевое пастеризованное м.д.ж. 3,2%, яйцо куриное пищевое, масло подсолнечное рафинированное дезодорированное, лук репчатый, хлеб из пшеничной муки (мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль пищевая, дрожжи хлебопекарные сухие, сахар), соль пищевая, перец черный молотый||143.9|14.7 г|3.7 г|12.9 г|90 дней||https://media.vprok.ru/products/x700/6u/y5/khvio6dmqpzawrxsenjxirhmjktxy56u.jpeg|https://www.vprok.ru/product/ip-raschislova-n-n-sochnyy-bitochek-s-penne--1261222
6|Йогурт питьевой Чудо Клубника-Земляника 1.9% 680г||Вимм-Биль-Данн|Чудо|Россия|0.68 кг|0.68 л|Молоко нормализованное, молоко восстановленное (В)*, сахар, клубника, вода, глюкозно-фруктозный сироп (G)*, стабилизатор Е1442 (H)* или стабилизатор Е1422 (T)* или кукурузный крахмал (X)*, ароматизаторы, стабилизатор - пектины (P)*, краситель - кармины, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), закваска.*- при использовании данного компонента в маркировке указывается соответствующая ему буква||84.0|2.8 г|1.9 г|13.9 г|40 дней|139,9₽/шт|https://media.vprok.ru/products/x700/u3/bs/v2ik74akgvsfdz3svueppwhfx7gybsu3.jpeg|https://www.vprok.ru/product/chudo-yogurt-fruktovyy-3834chudo-3834so-vkusom-klubnika-zemlyanika-mdj-1-9-680g-petf--1225768
7|Колбаса Ближние горки Краковская ГОСТ полукопченая 400г|Колбаса Ближние горки Краковская ГОСТ полукопченая 400г – отличное решение для сытного семейного завтрака или перекуса в течение дня. Это аппетитное колбасное изделие, изготовленное в соответствии с рецептурой ГОСТ из свинины, говядины, свиной грудинки, чеснока, специй и душистых пряностей. Идеально подходит для приготовления бутербродов, нарезок, салатов, солянки и других вкусных блюд. Вакуумная упаковка надежно сохраняет свежесть и питательную ценность в пределах всего срока годности. Не содержит ГМО. Продукция ТМ «Ближние горки» производится из фермерского охлажденного мяса из собственных хозяйств, расположенных в Курской области. Животные питаются сбалансированными кормами и растут в естественном цикле, поэтому готовые колбасные изделия отличаются высочайшим качеством и отменными вкусовыми свойствами.|Дмитрогорский МЗ|Ближние горки|Россия|0.4 кг||Свинина, говядина, грудинка свиная, нитритно-посолочная смесь (соль, фиксатор окраски- нитрит натрия), сахар, чеснок свежий, пряности (перец чёрный, перец душистый). Не содержит ГМО||371.0|14 г|35 г||40 дней|379,99₽/шт|https://media.vprok.ru/products/x700/ml/jj/m3yq66yanxzgx6epkjbtz2buocm3jjml.jpeg|https://www.vprok.ru/product/blijnie-gorki-bl-gor-kolb-krakov-gost-pk400g--516827
8|Баклажаны Ararat печеные 980г||ПК Арарат|Ararat|Армения|0.98 кг||Баклажаны, соль поваренная пищевая||22.0|1.5 г||4 г|1095 дней|189,9₽/шт|https://media.vprok.ru/products/x700/o5/6x/cll2ehu3k7dc5otcbfg4dwkyglid6xo5.jpeg|https://www.vprok.ru/product/ararat-ararat-baklajany-pech-ster-980g--984440
9|Помидоры Фламенко сливовидные красные||||Россия|||||||||21 день|299₽|https://media.vprok.ru/products/x700/w4/gn/u23henahy47wjbwtu4fgh2x7vsdrgnw4.jpeg|https://www.vprok.ru/product/tomaty-flamenko-slivovidnye-krasnye-1-kg--1204466
10|Филе сельди Русское море Селедочка к картошке Традиционный посол 400г||Русское море||Беларусь|0.4 кг||Филе сельди, масло растительное, соль, регуляторы кислотности: винная, лимонная кислоты; усилитель вкуса и аромата глутамат натрия 1-замещенный, консерванты: бензоат натрия, сорбат калия||160.0|13.3 г|11.8 г||120 дней|199₽/шт|https://media.vprok.ru/products/x700/fe/g2/btrim3ao6qf5oohr7le2bo24hnw7g2fe.jpeg|https://www.vprok.ru/product/russkoe-more-r-m-file-sel-sel-k-kar-tr-p400g--861992
11|Молоко Экомилк Отборное 3.4-4.5% 900мл|||Экомилк|Россия||0.9 л|Молоко цельное|Коровье|70.0|3 г|4.5 г|4.7 г|21 день|95,9₽/шт|https://media.vprok.ru/products/x700/57/u5/crqwjrigqbkzzulmlaqitkpnjtb4u557.jpeg|https://www.vprok.ru/product/ekomilk-bzmj-ekom-moloko-3-4-4-5-900ml--857218